PCF ID,Hierarchy ID,Name,Difference Index,Change Details,Metrics Available?,Element Description
10002,1,Develop Vision and Strategy,0,,Y,"Establishing a direction and vision for an organization. This involves defining the business concept and long-term vision, as well as developing the business strategy and managing strategic initiatives. Processes in this category focus on creating a vision, a mission, and strategic objectives, and culminate in creating measures to ensure that the organization is moving in the desired direction."
17040,1.1,Define the business concept and long-term vision,0,,N,"Creating a conceptual framework of the organization's business activity and strategic vision with long-term applicability. Scout the organization's internal capabilities, as well as the customer's needs and desires, to identify a fit that can be used to advance a conceptual structure of the organization's business activity. Conduct analysis in light of relevant externalities and large-scale shifts in the market landscape."
10017,1.1.1,Assess the external environment,0,,Y,"Assessing all forces, entities, and systems that are external to an organization but can affect its operation. Analyze far-reaching currents in the macroeconomic situation, assess the competition, evaluate technological changes, and identify societal as well as ecological issues of concern. Create a big-picture understanding of externalities, with sufficient depth across individual aspects."
19945,1.1.1.1,Identify competitors,0,,N,"Identifying your competitors, their service and/or product. Evaluating competitors strategies to determine their strengths and weaknesses relative to those of your own product or service."
10021,1.1.1.2,Analyze and evaluate competition,0,,N,"Assessing the competitive forces in the marketplace that could potentially affect the organization. Analyze various aspects of business competition including competing firms. Aggregate competitive intelligence, create benchmarks to juxtapose processes and performance metrics, and inject crucial information about the competition into management models to synthesize insights."
21421,1.1.1.3,Identify potential product or service alternatives,0,,N,"Examining if there are other existing products or services in the marketplace, and building the business case to make a go/no go decision based upon substitutions.  "
10022,1.1.1.4,Identify economic trends,0,,N,"Determining large-scale macroeconomic shifts and trends, with medium to long-term relevance for the organization. Vet the immediate and the larger economic ecosystem to identify broad-based movements that affect the organization. In the immediate vicinity, for example, examine the stock price of key vendors/suppliers in the organizational value-chain. In the larger economic ecosystem, analyze according to geographical distribution where factors such as interest rates, taxation structures, oil prices, and unemployment rates are explored."
10023,1.1.1.5,Identify political and regulatory factors,0,,N,"Identifying areas of concern pertaining to public policy and regulation, established by sovereign or multinational authorities. Examine various regions and geopolitical formations to identify those political and regulatory issues-present or developing-that can potentially affect the organization. Plan for an iterative process, partitioned across regional and geopolitical entities that have a direct bearing on the organization's activities. Assess changes in environmental compliance, product standards, trade barriers, etc."
10027,1.1.1.6,Identify environmental factors,0,,N,"Identifying changes in ecological ecosystems that can be directly or indirectly detrimental to the organization. Analyze ecological factors within the immediate ecosystem for near to middle-term impact. Analyze the ecology, at large, to get a sense of long-term shifts and concerns. Gather analyses from research publications. Speak to subject matter experts. Engage with advocacy groups, lawyers, journalists, and the active populations."
10026,1.1.1.7,Identify social and cultural changes,0,,N,"Distinguishing changes in societal makeup, as well as the cultural composite. Isolate shifts in the societal composition and distribution, as well as the value systems and attributes that bind the organization together. Analyze well-regarded publications--and gather the perspective of public intellectuals and opinion leaders--on relevant issues."
